YearsExperience,EducationLevel,JobDescription,Salary
15,High School,Financial analyst familiar with Excel and financial modeling,55912
4,PhD,Data scientist proficient in machine learning and Python,36473
2,PhD,Graphic designer with Adobe Creative Suite proficiency,179741
11,Master,Marketing specialist with SEO and SEM experience,129500
12,PhD,Data scientist proficient in machine learning and Python,182015
12,Bachelor,Project manager with Agile and Scrum expertise,68785
9,Bachelor,Financial analyst familiar with Excel and financial modeling,130956
3,PhD,Customer support representative with CRM experience,149006
8,High School,Data scientist proficient in machine learning and Python,40832
1,Master,Customer support representative with CRM experience,166457
18,High School,Data scientist proficient in machine learning and Python,175780
0,PhD,Customer support representative with CRM experience,184510
6,Bachelor,Full stack developer skilled in React and Node.js,112747
16,Master,Data scientist proficient in machine learning and Python,110107
2,High School,Project manager with Agile and Scrum expertise,95428
19,High School,Customer support representative with CRM experience,116843
19,PhD,Marketing specialist with SEO and SEM experience,41002
20,Master,Project manager with Agile and Scrum expertise,197225
2,Bachelor,Software engineer with experience in backend systems,183512
2,PhD,Data scientist proficient in machine learning and Python,97501
16,Master,Marketing specialist with SEO and SEM experience,62556
6,High School,Software engineer with experience in backend systems,97963
13,PhD,Data scientist proficient in machine learning and Python,36563
16,High School,Marketing specialist with SEO and SEM experience,35840
17,High School,Marketing specialist with SEO and SEM experience,45154
12,PhD,Project manager with Agile and Scrum expertise,54194
19,PhD,Full stack developer skilled in React and Node.js,183520
19,PhD,Marketing specialist with SEO and SEM experience,53528
20,PhD,Full stack developer skilled in React and Node.js,190474
17,PhD,Financial analyst familiar with Excel and financial modeling,34352
3,High School,Project manager with Agile and Scrum expertise,30184
0,Bachelor,Graphic designer with Adobe Creative Suite proficiency,171456
17,Bachelor,Customer support representative with CRM experience,44319
0,PhD,Project manager with Agile and Scrum expertise,150497
12,High School,Software engineer with experience in backend systems,181521
19,Bachelor,Customer support representative with CRM experience,86333
19,Bachelor,Customer support representative with CRM experience,71205
9,Bachelor,Graphic designer with Adobe Creative Suite proficiency,40426
10,High School,Full stack developer skilled in React and Node.js,37504
8,PhD,Graphic designer with Adobe Creative Suite proficiency,146775
8,PhD,Graphic designer with Adobe Creative Suite proficiency,63368
4,PhD,Customer support representative with CRM experience,133841
0,Master,Marketing specialist with SEO and SEM experience,146744
16,Master,Full stack developer skilled in React and Node.js,38724
1,Master,Customer support representative with CRM experience,166156
12,High School,Full stack developer skilled in React and Node.js,195882
8,Bachelor,Financial analyst familiar with Excel and financial modeling,112297
3,Bachelor,Full stack developer skilled in React and Node.js,155099
4,High School,Data scientist proficient in machine learning and Python,108872
10,High School,Marketing specialist with SEO and SEM experience,181944
18,PhD,Software engineer with experience in backend systems,100333
20,PhD,Data scientist proficient in machine learning and Python,32596
2,Master,Data scientist proficient in machine learning and Python,47167
11,Master,Graphic designer with Adobe Creative Suite proficiency,117844
18,High School,Graphic designer with Adobe Creative Suite proficiency,119751
18,Master,Data scientist proficient in machine learning and Python,159817
12,Bachelor,Customer support representative with CRM experience,110520
6,High School,Full stack developer skilled in React and Node.js,88326
14,High School,Full stack developer skilled in React and Node.js,107670
6,Bachelor,Project manager with Agile and Scrum expertise,171854
7,PhD,Customer support representative with CRM experience,54022
4,PhD,Marketing specialist with SEO and SEM experience,114458
20,Bachelor,Customer support representative with CRM experience,175690
13,Bachelor,Customer support representative with CRM experience,178317
3,Master,Customer support representative with CRM experience,113796
9,High School,Marketing specialist with SEO and SEM experience,171099
19,Master,Project manager with Agile and Scrum expertise,175058
14,Bachelor,Marketing specialist with SEO and SEM experience,140704
17,Master,Financial analyst familiar with Excel and financial modeling,164598
19,Bachelor,Project manager with Agile and Scrum expertise,74361
12,Master,Financial analyst familiar with Excel and financial modeling,68286
7,Master,Financial analyst familiar with Excel and financial modeling,59533
8,PhD,Financial analyst familiar with Excel and financial modeling,179388
15,Bachelor,Full stack developer skilled in React and Node.js,169771
18,Master,Data scientist proficient in machine learning and Python,157441
15,High School,Data scientist proficient in machine learning and Python,127079
6,Master,Financial analyst familiar with Excel and financial modeling,130960
13,Master,Financial analyst familiar with Excel and financial modeling,88465
13,High School,Software engineer with experience in backend systems,177745
3,Bachelor,Graphic designer with Adobe Creative Suite proficiency,53395
14,PhD,Data scientist proficient in machine learning and Python,134162
2,PhD,Graphic designer with Adobe Creative Suite proficiency,160704
4,PhD,Graphic designer with Adobe Creative Suite proficiency,184779
0,High School,Software engineer with experience in backend systems,105937
2,Master,Graphic designer with Adobe Creative Suite proficiency,159647
14,Bachelor,Project manager with Agile and Scrum expertise,150650
7,Master,Software engineer with experience in backend systems,160744
3,PhD,Graphic designer with Adobe Creative Suite proficiency,121512
1,Master,Graphic designer with Adobe Creative Suite proficiency,169830
9,High School,Customer support representative with CRM experience,97009
3,High School,Graphic designer with Adobe Creative Suite proficiency,174353
2,Bachelor,Full stack developer skilled in React and Node.js,62548
1,Bachelor,Project manager with Agile and Scrum expertise,48371
16,PhD,Marketing specialist with SEO and SEM experience,135977
20,Bachelor,Data scientist proficient in machine learning and Python,180716
19,Master,Financial analyst familiar with Excel and financial modeling,184946
12,High School,Graphic designer with Adobe Creative Suite proficiency,44281
4,High School,Project manager with Agile and Scrum expertise,183361
20,High School,Financial analyst familiar with Excel and financial modeling,166126
8,Bachelor,Marketing specialist with SEO and SEM experience,130020
5,High School,Project manager with Agile and Scrum expertise,137508
4,High School,Data scientist proficient in machine learning and Python,96846
9,High School,Project manager with Agile and Scrum expertise,124682
7,PhD,Financial analyst familiar with Excel and financial modeling,59312
6,PhD,Financial analyst familiar with Excel and financial modeling,144186
6,Bachelor,Customer support representative with CRM experience,34257
5,High School,Graphic designer with Adobe Creative Suite proficiency,176918
20,Bachelor,Software engineer with experience in backend systems,183555
19,High School,Project manager with Agile and Scrum expertise,56558
2,High School,Financial analyst familiar with Excel and financial modeling,73188
18,High School,Full stack developer skilled in React and Node.js,174084
14,Bachelor,Data scientist proficient in machine learning and Python,63236
3,Bachelor,Full stack developer skilled in React and Node.js,75076
11,High School,Marketing specialist with SEO and SEM experience,78402
5,Master,Project manager with Agile and Scrum expertise,124467
18,Bachelor,Customer support representative with CRM experience,193148
3,PhD,Data scientist proficient in machine learning and Python,110337
14,Bachelor,Customer support representative with CRM experience,145827
8,High School,Software engineer with experience in backend systems,104264
4,Master,Financial analyst familiar with Excel and financial modeling,47335
12,High School,Graphic designer with Adobe Creative Suite proficiency,73773
17,PhD,Data scientist proficient in machine learning and Python,58570
4,Bachelor,Marketing specialist with SEO and SEM experience,117995
15,Bachelor,Graphic designer with Adobe Creative Suite proficiency,70658
18,High School,Project manager with Agile and Scrum expertise,150640
13,High School,Software engineer with experience in backend systems,102613
15,PhD,Software engineer with experience in backend systems,88194
14,Master,Customer support representative with CRM experience,141872
3,PhD,Software engineer with experience in backend systems,195031
6,Master,Data scientist proficient in machine learning and Python,138558
15,Bachelor,Customer support representative with CRM experience,98582
20,Master,Graphic designer with Adobe Creative Suite proficiency,173775
20,Master,Software engineer with experience in backend systems,79456
7,Bachelor,Project manager with Agile and Scrum expertise,85491
16,Bachelor,Graphic designer with Adobe Creative Suite proficiency,38043
15,Bachelor,Marketing specialist with SEO and SEM experience,133212
9,PhD,Project manager with Agile and Scrum expertise,98340
9,Bachelor,Full stack developer skilled in React and Node.js,171248
1,High School,Data scientist proficient in machine learning and Python,165008
8,Bachelor,Marketing specialist with SEO and SEM experience,61174
16,Bachelor,Marketing specialist with SEO and SEM experience,112632
10,Bachelor,Customer support representative with CRM experience,118768
9,Master,Financial analyst familiar with Excel and financial modeling,155775
16,PhD,Customer support representative with CRM experience,138177
3,Bachelor,Data scientist proficient in machine learning and Python,55909
15,PhD,Data scientist proficient in machine learning and Python,74158
19,High School,Customer support representative with CRM experience,169438
14,High School,Financial analyst familiar with Excel and financial modeling,154296
20,Bachelor,Project manager with Agile and Scrum expertise,89331
4,High School,Customer support representative with CRM experience,189914
5,PhD,Data scientist proficient in machine learning and Python,178530
16,Master,Financial analyst familiar with Excel and financial modeling,117367
0,Bachelor,Data scientist proficient in machine learning and Python,95382
18,High School,Financial analyst familiar with Excel and financial modeling,104319
3,PhD,Financial analyst familiar with Excel and financial modeling,41170
16,PhD,Graphic designer with Adobe Creative Suite proficiency,149952
8,High School,Customer support representative with CRM experience,110145
1,PhD,Customer support representative with CRM experience,135626
7,PhD,Customer support representative with CRM experience,46208
14,Bachelor,Financial analyst familiar with Excel and financial modeling,196250
6,PhD,Financial analyst familiar with Excel and financial modeling,170111
5,High School,Data scientist proficient in machine learning and Python,44990
0,Bachelor,Marketing specialist with SEO and SEM experience,167513
14,High School,Customer support representative with CRM experience,159327
6,Master,Graphic designer with Adobe Creative Suite proficiency,109314
16,High School,Full stack developer skilled in React and Node.js,56862
1,High School,Data scientist proficient in machine learning and Python,188345
8,Bachelor,Data scientist proficient in machine learning and Python,123949
8,PhD,Software engineer with experience in backend systems,160223
12,High School,Customer support representative with CRM experience,33956
5,Bachelor,Project manager with Agile and Scrum expertise,118789
5,Master,Data scientist proficient in machine learning and Python,119451
19,Bachelor,Software engineer with experience in backend systems,147782
19,Bachelor,Full stack developer skilled in React and Node.js,32365
20,PhD,Graphic designer with Adobe Creative Suite proficiency,102204
2,High School,Full stack developer skilled in React and Node.js,166072
16,Master,Project manager with Agile and Scrum expertise,87072
16,Bachelor,Customer support representative with CRM experience,82499
11,High School,Financial analyst familiar with Excel and financial modeling,99211
15,High School,Software engineer with experience in backend systems,173979
14,Bachelor,Financial analyst familiar with Excel and financial modeling,178408
12,High School,Full stack developer skilled in React and Node.js,115220
0,Bachelor,Full stack developer skilled in React and Node.js,123847
16,Bachelor,Marketing specialist with SEO and SEM experience,139459
2,Bachelor,Marketing specialist with SEO and SEM experience,107755
14,Master,Graphic designer with Adobe Creative Suite proficiency,98783
3,Bachelor,Project manager with Agile and Scrum expertise,157851
3,PhD,Marketing specialist with SEO and SEM experience,36472
17,High School,Marketing specialist with SEO and SEM experience,183452
16,Master,Project manager with Agile and Scrum expertise,133152
18,High School,Data scientist proficient in machine learning and Python,188352
10,Master,Marketing specialist with SEO and SEM experience,182931
19,PhD,Data scientist proficient in machine learning and Python,169334
2,Master,Data scientist proficient in machine learning and Python,172138
7,Master,Customer support representative with CRM experience,176626
13,Master,Data scientist proficient in machine learning and Python,37008
0,High School,Data scientist proficient in machine learning and Python,117851
13,Bachelor,Marketing specialist with SEO and SEM experience,110799
1,High School,Data scientist proficient in machine learning and Python,46238
3,Bachelor,Financial analyst familiar with Excel and financial modeling,47153
18,High School,Project manager with Agile and Scrum expertise,89353
5,PhD,Marketing specialist with SEO and SEM experience,82092
0,PhD,Project manager with Agile and Scrum expertise,79104
16,Master,Software engineer with experience in backend systems,185355
7,PhD,Marketing specialist with SEO and SEM experience,58887
18,Master,Data scientist proficient in machine learning and Python,34355
20,Bachelor,Financial analyst familiar with Excel and financial modeling,63701
0,PhD,Project manager with Agile and Scrum expertise,101442
4,Bachelor,Marketing specialist with SEO and SEM experience,42279
15,High School,Financial analyst familiar with Excel and financial modeling,150738
5,Bachelor,Project manager with Agile and Scrum expertise,169333
7,High School,Software engineer with experience in backend systems,165546
12,Bachelor,Full stack developer skilled in React and Node.js,121414
15,Bachelor,Graphic designer with Adobe Creative Suite proficiency,58390
2,PhD,Graphic designer with Adobe Creative Suite proficiency,187997
18,Bachelor,Software engineer with experience in backend systems,112174
11,PhD,Full stack developer skilled in React and Node.js,34787
15,PhD,Customer support representative with CRM experience,73724
10,Master,Full stack developer skilled in React and Node.js,40663
9,Master,Customer support representative with CRM experience,177192
19,High School,Marketing specialist with SEO and SEM experience,183812
3,Bachelor,Customer support representative with CRM experience,163107
11,High School,Graphic designer with Adobe Creative Suite proficiency,130271
1,Bachelor,Graphic designer with Adobe Creative Suite proficiency,97388
18,Master,Financial analyst familiar with Excel and financial modeling,82335
4,Master,Customer support representative with CRM experience,73315
7,Bachelor,Financial analyst familiar with Excel and financial modeling,134922
6,Bachelor,Graphic designer with Adobe Creative Suite proficiency,76627
13,Master,Project manager with Agile and Scrum expertise,169375
2,Master,Project manager with Agile and Scrum expertise,79334
17,High School,Full stack developer skilled in React and Node.js,95700
15,Master,Full stack developer skilled in React and Node.js,69726
18,Bachelor,Full stack developer skilled in React and Node.js,60694
18,High School,Customer support representative with CRM experience,192325
17,Bachelor,Full stack developer skilled in React and Node.js,185302
19,PhD,Customer support representative with CRM experience,93545
15,High School,Customer support representative with CRM experience,177997
7,Bachelor,Data scientist proficient in machine learning and Python,36033
0,Master,Data scientist proficient in machine learning and Python,92461
16,PhD,Customer support representative with CRM experience,32665
11,Bachelor,Project manager with Agile and Scrum expertise,57025
20,High School,Financial analyst familiar with Excel and financial modeling,184605
10,Bachelor,Graphic designer with Adobe Creative Suite proficiency,107661
4,PhD,Graphic designer with Adobe Creative Suite proficiency,150473
11,High School,Marketing specialist with SEO and SEM experience,50998
16,PhD,Software engineer with experience in backend systems,91248
5,Bachelor,Data scientist proficient in machine learning and Python,134493
0,Master,Customer support representative with CRM experience,53057
4,Master,Software engineer with experience in backend systems,109244
13,Bachelor,Data scientist proficient in machine learning and Python,127031
4,Bachelor,Marketing specialist with SEO and SEM experience,142713
0,Bachelor,Graphic designer with Adobe Creative Suite proficiency,135887
17,High School,Financial analyst familiar with Excel and financial modeling,97173
15,PhD,Customer support representative with CRM experience,68734
8,PhD,Marketing specialist with SEO and SEM experience,92072
18,PhD,Graphic designer with Adobe Creative Suite proficiency,124194
4,Bachelor,Project manager with Agile and Scrum expertise,169741
1,PhD,Data scientist proficient in machine learning and Python,143272
14,Bachelor,Customer support representative with CRM experience,97902
6,High School,Software engineer with experience in backend systems,152247
3,Master,Project manager with Agile and Scrum expertise,179982
0,Bachelor,Graphic designer with Adobe Creative Suite proficiency,86959
12,Bachelor,Project manager with Agile and Scrum expertise,126623
19,Master,Full stack developer skilled in React and Node.js,161438
6,Master,Financial analyst familiar with Excel and financial modeling,78415
14,High School,Graphic designer with Adobe Creative Suite proficiency,154716
13,PhD,Project manager with Agile and Scrum expertise,151209
18,Bachelor,Data scientist proficient in machine learning and Python,39907
19,PhD,Financial analyst familiar with Excel and financial modeling,125825
17,Bachelor,Customer support representative with CRM experience,62780
9,High School,Full stack developer skilled in React and Node.js,65085
8,Master,Graphic designer with Adobe Creative Suite proficiency,50426
7,High School,Marketing specialist with SEO and SEM experience,37485
9,Master,Financial analyst familiar with Excel and financial modeling,79527
16,PhD,Software engineer with experience in backend systems,154604
1,PhD,Data scientist proficient in machine learning and Python,121005
5,High School,Graphic designer with Adobe Creative Suite proficiency,88528
4,Master,Software engineer with experience in backend systems,150631
8,High School,Financial analyst familiar with Excel and financial modeling,57799
4,Master,Graphic designer with Adobe Creative Suite proficiency,177159
17,Master,Full stack developer skilled in React and Node.js,168518
19,PhD,Marketing specialist with SEO and SEM experience,124817
8,PhD,Marketing specialist with SEO and SEM experience,88260
16,Master,Software engineer with experience in backend systems,175949
16,Master,Customer support representative with CRM experience,185795
11,Master,Customer support representative with CRM experience,42943
6,PhD,Full stack developer skilled in React and Node.js,171378
2,PhD,Marketing specialist with SEO and SEM experience,197856
9,Bachelor,Software engineer with experience in backend systems,151401
1,Master,Software engineer with experience in backend systems,181527
2,Bachelor,Graphic designer with Adobe Creative Suite proficiency,191046
15,Master,Graphic designer with Adobe Creative Suite proficiency,57371
1,PhD,Software engineer with experience in backend systems,128746
9,Bachelor,Graphic designer with Adobe Creative Suite proficiency,131248
5,Bachelor,Financial analyst familiar with Excel and financial modeling,165008
10,High School,Graphic designer with Adobe Creative Suite proficiency,194238
6,Master,Full stack developer skilled in React and Node.js,55727
14,PhD,Customer support representative with CRM experience,144000
5,High School,Customer support representative with CRM experience,93969
19,High School,Financial analyst familiar with Excel and financial modeling,189440
8,Master,Data scientist proficient in machine learning and Python,98531
19,High School,Financial analyst familiar with Excel and financial modeling,69097
11,Master,Full stack developer skilled in React and Node.js,196056
18,High School,Software engineer with experience in backend systems,80859
19,Master,Financial analyst familiar with Excel and financial modeling,183222
2,PhD,Software engineer with experience in backend systems,183133
14,Master,Full stack developer skilled in React and Node.js,190250
1,Master,Project manager with Agile and Scrum expertise,86790
20,Bachelor,Full stack developer skilled in React and Node.js,95696
1,PhD,Marketing specialist with SEO and SEM experience,45648
2,PhD,Software engineer with experience in backend systems,91779
5,PhD,Customer support representative with CRM experience,136371
14,High School,Financial analyst familiar with Excel and financial modeling,66672
9,Bachelor,Project manager with Agile and Scrum expertise,99109
8,PhD,Full stack developer skilled in React and Node.js,64593
0,High School,Software engineer with experience in backend systems,174858
15,High School,Project manager with Agile and Scrum expertise,39815
5,High School,Data scientist proficient in machine learning and Python,183038
8,Bachelor,Marketing specialist with SEO and SEM experience,174866
3,High School,Data scientist proficient in machine learning and Python,192495
1,Bachelor,Full stack developer skilled in React and Node.js,51302
3,Master,Data scientist proficient in machine learning and Python,115140
0,High School,Data scientist proficient in machine learning and Python,188907
18,PhD,Marketing specialist with SEO and SEM experience,103356
9,High School,Marketing specialist with SEO and SEM experience,79282
20,Master,Graphic designer with Adobe Creative Suite proficiency,158451
14,Master,Marketing specialist with SEO and SEM experience,151347
18,High School,Project manager with Agile and Scrum expertise,53814
15,Master,Graphic designer with Adobe Creative Suite proficiency,185161
20,Bachelor,Marketing specialist with SEO and SEM experience,193818
3,Bachelor,Data scientist proficient in machine learning and Python,111673
1,High School,Customer support representative with CRM experience,81940
12,Bachelor,Customer support representative with CRM experience,116796
0,Bachelor,Graphic designer with Adobe Creative Suite proficiency,66476
16,PhD,Marketing specialist with SEO and SEM experience,187355
12,High School,Project manager with Agile and Scrum expertise,162841
3,Master,Financial analyst familiar with Excel and financial modeling,72278
6,High School,Software engineer with experience in backend systems,45634
16,Bachelor,Full stack developer skilled in React and Node.js,156259
8,PhD,Project manager with Agile and Scrum expertise,172037
3,High School,Financial analyst familiar with Excel and financial modeling,188638
18,High School,Full stack developer skilled in React and Node.js,82196
0,Bachelor,Financial analyst familiar with Excel and financial modeling,128679
9,Bachelor,Financial analyst familiar with Excel and financial modeling,160861
3,High School,Graphic designer with Adobe Creative Suite proficiency,49420
8,Bachelor,Customer support representative with CRM experience,186308
12,Bachelor,Software engineer with experience in backend systems,36218
13,Bachelor,Financial analyst familiar with Excel and financial modeling,154283
9,Bachelor,Marketing specialist with SEO and SEM experience,94057
5,Bachelor,Full stack developer skilled in React and Node.js,108609
15,PhD,Project manager with Agile and Scrum expertise,172298
5,Bachelor,Customer support representative with CRM experience,153108
16,Master,Full stack developer skilled in React and Node.js,40046
9,High School,Graphic designer with Adobe Creative Suite proficiency,147462
17,PhD,Marketing specialist with SEO and SEM experience,139345
17,PhD,Marketing specialist with SEO and SEM experience,67117
2,Bachelor,Financial analyst familiar with Excel and financial modeling,159980
19,High School,Marketing specialist with SEO and SEM experience,166037
20,Master,Software engineer with experience in backend systems,47373
14,Bachelor,Graphic designer with Adobe Creative Suite proficiency,75452
14,High School,Marketing specialist with SEO and SEM experience,36654
3,Bachelor,Financial analyst familiar with Excel and financial modeling,192352
8,Bachelor,Full stack developer skilled in React and Node.js,153319
18,Bachelor,Graphic designer with Adobe Creative Suite proficiency,135646
16,Bachelor,Marketing specialist with SEO and SEM experience,56583
10,Bachelor,Customer support representative with CRM experience,124242
8,Bachelor,Graphic designer with Adobe Creative Suite proficiency,167432
9,Bachelor,Graphic designer with Adobe Creative Suite proficiency,83968
17,Master,Project manager with Agile and Scrum expertise,164815
19,PhD,Customer support representative with CRM experience,168231
12,Master,Customer support representative with CRM experience,193223
7,Bachelor,Full stack developer skilled in React and Node.js,161590
6,Bachelor,Data scientist proficient in machine learning and Python,46652
16,Master,Project manager with Agile and Scrum expertise,143114
20,Master,Customer support representative with CRM experience,132489
14,PhD,Customer support representative with CRM experience,107001
19,Master,Data scientist proficient in machine learning and Python,154269
14,PhD,Full stack developer skilled in React and Node.js,106757
0,Bachelor,Project manager with Agile and Scrum expertise,54395
13,High School,Customer support representative with CRM experience,163407
4,High School,Financial analyst familiar with Excel and financial modeling,131978
10,High School,Full stack developer skilled in React and Node.js,161572
15,High School,Project manager with Agile and Scrum expertise,154541
1,Bachelor,Customer support representative with CRM experience,38083
7,High School,Customer support representative with CRM experience,136598
10,Master,Data scientist proficient in machine learning and Python,166615
17,Master,Project manager with Agile and Scrum expertise,126171
2,High School,Financial analyst familiar with Excel and financial modeling,150423
0,Master,Full stack developer skilled in React and Node.js,36613
10,PhD,Marketing specialist with SEO and SEM experience,140033
15,Bachelor,Software engineer with experience in backend systems,106202
17,High School,Financial analyst familiar with Excel and financial modeling,187327
15,High School,Marketing specialist with SEO and SEM experience,115666
9,Bachelor,Financial analyst familiar with Excel and financial modeling,52068
17,Master,Project manager with Agile and Scrum expertise,79057
5,Bachelor,Marketing specialist with SEO and SEM experience,48946
18,Bachelor,Project manager with Agile and Scrum expertise,181619
3,Master,Marketing specialist with SEO and SEM experience,115237
12,Bachelor,Financial analyst familiar with Excel and financial modeling,35769
13,Master,Data scientist proficient in machine learning and Python,185955
2,Master,Financial analyst familiar with Excel and financial modeling,91340
9,Bachelor,Project manager with Agile and Scrum expertise,109199
5,PhD,Financial analyst familiar with Excel and financial modeling,134222
0,Master,Graphic designer with Adobe Creative Suite proficiency,196234
13,Bachelor,Graphic designer with Adobe Creative Suite proficiency,63434
7,Master,Marketing specialist with SEO and SEM experience,52102
18,PhD,Graphic designer with Adobe Creative Suite proficiency,51536
13,PhD,Software engineer with experience in backend systems,134639
9,High School,Marketing specialist with SEO and SEM experience,80775
16,Master,Graphic designer with Adobe Creative Suite proficiency,61147
8,Master,Customer support representative with CRM experience,80526
5,Bachelor,Financial analyst familiar with Excel and financial modeling,184731
10,Master,Full stack developer skilled in React and Node.js,134663
6,High School,Financial analyst familiar with Excel and financial modeling,142180
16,PhD,Graphic designer with Adobe Creative Suite proficiency,154233
0,PhD,Data scientist proficient in machine learning and Python,53088
4,High School,Project manager with Agile and Scrum expertise,98464
8,Master,Full stack developer skilled in React and Node.js,135921
17,Master,Marketing specialist with SEO and SEM experience,89998
20,High School,Data scientist proficient in machine learning and Python,70382
1,Bachelor,Financial analyst familiar with Excel and financial modeling,58184
10,PhD,Graphic designer with Adobe Creative Suite proficiency,181171
5,High School,Marketing specialist with SEO and SEM experience,67739
7,High School,Marketing specialist with SEO and SEM experience,157937
3,Master,Customer support representative with CRM experience,169461
17,PhD,Customer support representative with CRM experience,47352
10,Master,Graphic designer with Adobe Creative Suite proficiency,156788
4,High School,Graphic designer with Adobe Creative Suite proficiency,147843
14,Bachelor,Software engineer with experience in backend systems,182220
17,PhD,Customer support representative with CRM experience,61828
1,High School,Project manager with Agile and Scrum expertise,98040
10,High School,Full stack developer skilled in React and Node.js,124279
12,Bachelor,Marketing specialist with SEO and SEM experience,124430
3,High School,Customer support representative with CRM experience,145957
6,High School,Graphic designer with Adobe Creative Suite proficiency,47748
10,PhD,Software engineer with experience in backend systems,118636
3,PhD,Graphic designer with Adobe Creative Suite proficiency,194763
14,PhD,Graphic designer with Adobe Creative Suite proficiency,145158
0,Master,Graphic designer with Adobe Creative Suite proficiency,40246
2,Bachelor,Financial analyst familiar with Excel and financial modeling,89395
13,PhD,Full stack developer skilled in React and Node.js,193558
5,Master,Customer support representative with CRM experience,191412
17,Master,Marketing specialist with SEO and SEM experience,80300
0,Bachelor,Financial analyst familiar with Excel and financial modeling,164158
5,Bachelor,Graphic designer with Adobe Creative Suite proficiency,44860
5,High School,Project manager with Agile and Scrum expertise,47013
20,Master,Marketing specialist with SEO and SEM experience,168479
15,PhD,Financial analyst familiar with Excel and financial modeling,63542
4,Bachelor,Project manager with Agile and Scrum expertise,54935
16,Master,Project manager with Agile and Scrum expertise,79079
9,PhD,Full stack developer skilled in React and Node.js,64111
20,Master,Marketing specialist with SEO and SEM experience,86550
17,Bachelor,Customer support representative with CRM experience,106955
6,High School,Customer support representative with CRM experience,70565
2,Master,Software engineer with experience in backend systems,49283
12,PhD,Financial analyst familiar with Excel and financial modeling,96470
14,Bachelor,Software engineer with experience in backend systems,116916
19,High School,Data scientist proficient in machine learning and Python,109552
18,PhD,Customer support representative with CRM experience,68233
2,PhD,Financial analyst familiar with Excel and financial modeling,52695
3,PhD,Full stack developer skilled in React and Node.js,156440
4,Master,Software engineer with experience in backend systems,111257
0,Bachelor,Full stack developer skilled in React and Node.js,31505
3,PhD,Full stack developer skilled in React and Node.js,166435
11,Master,Graphic designer with Adobe Creative Suite proficiency,73614
9,Bachelor,Graphic designer with Adobe Creative Suite proficiency,31010
20,Bachelor,Full stack developer skilled in React and Node.js,160560
19,Master,Software engineer with experience in backend systems,180933
12,Master,Graphic designer with Adobe Creative Suite proficiency,185197
13,PhD,Data scientist proficient in machine learning and Python,170441
4,Bachelor,Project manager with Agile and Scrum expertise,99393
3,High School,Project manager with Agile and Scrum expertise,187743
13,Master,Graphic designer with Adobe Creative Suite proficiency,94512
9,Bachelor,Software engineer with experience in backend systems,128026
16,Bachelor,Project manager with Agile and Scrum expertise,105656
9,PhD,Marketing specialist with SEO and SEM experience,127686
6,High School,Project manager with Agile and Scrum expertise,45489
15,PhD,Customer support representative with CRM experience,89789
0,High School,Software engineer with experience in backend systems,99925
16,High School,Graphic designer with Adobe Creative Suite proficiency,79703
20,Master,Graphic designer with Adobe Creative Suite proficiency,106625
8,Bachelor,Project manager with Agile and Scrum expertise,137535
5,Bachelor,Software engineer with experience in backend systems,33051
18,Bachelor,Data scientist proficient in machine learning and Python,199162
12,High School,Marketing specialist with SEO and SEM experience,58805
2,Bachelor,Graphic designer with Adobe Creative Suite proficiency,124978
6,Master,Software engineer with experience in backend systems,74557
8,High School,Graphic designer with Adobe Creative Suite proficiency,163627
4,High School,Graphic designer with Adobe Creative Suite proficiency,80241
9,High School,Customer support representative with CRM experience,157838
16,High School,Project manager with Agile and Scrum expertise,95994
11,Master,Customer support representative with CRM experience,144005
15,Bachelor,Project manager with Agile and Scrum expertise,46066
2,Master,Graphic designer with Adobe Creative Suite proficiency,165793
8,Bachelor,Software engineer with experience in backend systems,107982
14,Master,Full stack developer skilled in React and Node.js,36304
4,PhD,Project manager with Agile and Scrum expertise,72967
12,PhD,Full stack developer skilled in React and Node.js,108763
13,PhD,Marketing specialist with SEO and SEM experience,70462
19,PhD,Customer support representative with CRM experience,150356
14,High School,Full stack developer skilled in React and Node.js,101834
15,High School,Customer support representative with CRM experience,141023
12,Master,Project manager with Agile and Scrum expertise,147771
16,Master,Project manager with Agile and Scrum expertise,105842
7,PhD,Marketing specialist with SEO and SEM experience,32589
20,Bachelor,Project manager with Agile and Scrum expertise,155023
1,PhD,Graphic designer with Adobe Creative Suite proficiency,198150
4,Master,Marketing specialist with SEO and SEM experience,84918
5,PhD,Full stack developer skilled in React and Node.js,174673
11,Master,Project manager with Agile and Scrum expertise,37711
17,PhD,Software engineer with experience in backend systems,89430
0,Bachelor,Financial analyst familiar with Excel and financial modeling,132605
16,PhD,Data scientist proficient in machine learning and Python,33970
10,Bachelor,Graphic designer with Adobe Creative Suite proficiency,99535
9,Bachelor,Financial analyst familiar with Excel and financial modeling,116570
18,Master,Financial analyst familiar with Excel and financial modeling,151315
13,Bachelor,Customer support representative with CRM experience,197248
9,High School,Graphic designer with Adobe Creative Suite proficiency,142111
14,High School,Graphic designer with Adobe Creative Suite proficiency,71730
18,High School,Marketing specialist with SEO and SEM experience,174457
3,Master,Customer support representative with CRM experience,153252
1,High School,Full stack developer skilled in React and Node.js,167022
8,Master,Data scientist proficient in machine learning and Python,184470
9,Master,Full stack developer skilled in React and Node.js,186349
10,High School,Software engineer with experience in backend systems,187833
13,Bachelor,Data scientist proficient in machine learning and Python,93944
6,PhD,Customer support representative with CRM experience,192605
14,Master,Project manager with Agile and Scrum expertise,137437
